id,logFC,logCPM,F,PValue,FDR
ENSMUSG00000096979.1,6.240827656,1.831680565,313.8008844,3.30E-12,5.09E-08
ENSMUSG00000019478.15,0.908216752,3.552198531,81.46108317,8.32E-08,0.000528717
ENSMUSG00000096780.7,0.923029224,3.284662316,79.03648385,1.03E-07,0.000528717
ENSMUSG00000073643.11,1.41004603,4.584339268,60.23681445,6.46E-07,0.002494093
ENSMUSG00000015854.7,-2.587838401,2.178345461,53.3901804,1.42E-06,0.004379723
ENSMUSG00000072844.6,-2.981688568,2.02778686,47.27083873,3.07E-06,0.007899991
ENSMUSG00000096255.1,0.923548264,1.939122737,41.14922929,7.20E-06,0.014009049
ENSMUSG00000036718.17,1.100270755,3.684891413,40.4722184,7.95E-06,0.014009049
ENSMUSG00000026051.8,-1.469422675,1.72159576,40.29682225,8.16E-06,0.014009049
ENSMUSG00000053835.17,-1.255540563,4.241610657,39.25031019,9.55E-06,0.014756836
